Primal Results:

{'d': 10, 'n': 500, 'time': 0.004342794418334961}
{'d': 10, 'n': 5000, 'time': 0.004016399383544922}
{'d': 10, 'n': 50000, 'time': 0.045291900634765625}
{'d': 50, 'n': 500, 'time': 0.00603175163269043}
{'d': 50, 'n': 5000, 'time': 0.07605719566345215}
{'d': 50, 'n': 50000, 'time': 0.29329538345336914}
{'d': 100, 'n': 500, 'time': 0.001998424530029297}
{'d': 100, 'n': 5000, 'time': 0.12034034729003906}
{'d': 100, 'n': 50000, 'time': 0.29636693000793457}

Dual Results:

{'d': 10, 'n': 500, 'time': 0.0019025802612304688}
{'d': 10, 'n': 5000, 'time': 0.007765293121337891}
{'d': 10, 'n': 50000, 'time': 0.04551506042480469}
{'d': 50, 'n': 500, 'time': 0.008038043975830078}
{'d': 50, 'n': 5000, 'time': 0.020090579986572266}
{'d': 50, 'n': 50000, 'time': 0.3341352939605713}
{'d': 100, 'n': 500, 'time': 0.010018587112426758}
{'d': 100, 'n': 5000, 'time': 0.041258811950683594}
{'d': 100, 'n': 50000, 'time': 0.5478026866912842}

