
New Run


Round 1:

Epoch 41: train_loss=0.001969, test_loss=0.007324, acc=0.2698
Epoch 42: train_loss=0.001444, test_loss=0.008013, acc=0.1922
Epoch 43: train_loss=0.001301, test_loss=0.005013, acc=0.4186
Epoch 44: train_loss=0.000939, test_loss=0.001547, acc=0.7891
Epoch 45: train_loss=0.000767, test_loss=0.000968, acc=0.8992
Epoch 46: train_loss=0.001193, test_loss=0.000872, acc=0.9194
Epoch 47: train_loss=0.001141, test_loss=0.001254, acc=0.8295
Epoch 48: train_loss=0.001266, test_loss=0.001375, acc=0.8155
Epoch 49: train_loss=0.000894, test_loss=0.001276, acc=0.8279
Epoch 50: train_loss=0.000752, test_loss=0.001862, acc=0.7178

Round 2:

Epoch 1: train_loss=0.149722, test_loss=0.181596, acc=0.0000
Epoch 2: train_loss=0.039427, test_loss=0.048756, acc=0.0202
Epoch 3: train_loss=0.065734, test_loss=0.044845, acc=0.0589
Epoch 4: train_loss=0.068658, test_loss=0.078403, acc=0.0000
Epoch 5: train_loss=0.047725, test_loss=0.136232, acc=0.0000
Epoch 6: train_loss=0.037037, test_loss=0.197522, acc=0.0000
Epoch 7: train_loss=0.041312, test_loss=0.233886, acc=0.0000
Epoch 8: train_loss=0.048250, test_loss=0.236768, acc=0.0000
Epoch 9: train_loss=0.048939, test_loss=0.216021, acc=0.0000
Epoch 10: train_loss=0.044469, test_loss=0.184260, acc=0.0000
Epoch 11: train_loss=0.039140, test_loss=0.151275, acc=0.0000
Epoch 12: train_loss=0.036115, test_loss=0.123393, acc=0.0000
Epoch 13: train_loss=0.036230, test_loss=0.103982, acc=0.0000
Epoch 14: train_loss=0.038211, test_loss=0.094059, acc=0.0000
Epoch 15: train_loss=0.039872, test_loss=0.093031, acc=0.0000
Epoch 16: train_loss=0.039780, test_loss=0.099560, acc=0.0000
Epoch 17: train_loss=0.038066, test_loss=0.111910, acc=0.0000
Epoch 18: train_loss=0.035902, test_loss=0.127780, acc=0.0000
Epoch 19: train_loss=0.034465, test_loss=0.144157, acc=0.0000
Epoch 20: train_loss=0.034213, test_loss=0.157510, acc=0.0000
Epoch 21: train_loss=0.034739, test_loss=0.164486, acc=0.0000
Epoch 22: train_loss=0.035119, test_loss=0.162970, acc=0.0000
Epoch 23: train_loss=0.034538, test_loss=0.152873, acc=0.0000
Epoch 24: train_loss=0.032820, test_loss=0.136091, acc=0.0000
Epoch 25: train_loss=0.030480, test_loss=0.115810, acc=0.0000
Epoch 26: train_loss=0.028254, test_loss=0.095682, acc=0.0000
Epoch 27: train_loss=0.026342, test_loss=0.078965, acc=0.0000
Epoch 28: train_loss=0.023725, test_loss=0.067353, acc=0.0000
Epoch 29: train_loss=0.018472, test_loss=0.059875, acc=0.0000
Epoch 30: train_loss=0.010810, test_loss=0.048592, acc=0.0000
Epoch 31: train_loss=0.010160, test_loss=0.018982, acc=0.1054
Epoch 32: train_loss=0.003615, test_loss=0.005357, acc=0.5008
Epoch 33: train_loss=0.010892, test_loss=0.004321, acc=0.4698
Epoch 34: train_loss=0.010403, test_loss=0.005656, acc=0.5457
Epoch 35: train_loss=0.008298, test_loss=0.010725, acc=0.2884
Epoch 36: train_loss=0.004834, test_loss=0.015120, acc=0.1488
Epoch 37: train_loss=0.002330, test_loss=0.019509, acc=0.1008
Epoch 38: train_loss=0.004499, test_loss=0.025197, acc=0.0341
Epoch 39: train_loss=0.005609, test_loss=0.031643, acc=0.0047
Epoch 40: train_loss=0.005589, test_loss=0.036163, acc=0.0000
Epoch 41: train_loss=0.005707, test_loss=0.034945, acc=0.0000
Epoch 42: train_loss=0.005495, test_loss=0.026724, acc=0.0062
Epoch 43: train_loss=0.003953, test_loss=0.015599, acc=0.1085
Epoch 44: train_loss=0.002284, test_loss=0.007375, acc=0.4341
Epoch 45: train_loss=0.002003, test_loss=0.003738, acc=0.5845
Epoch 46: train_loss=0.002044, test_loss=0.002574, acc=0.6465
Epoch 47: train_loss=0.002557, test_loss=0.002166, acc=0.7070
Epoch 48: train_loss=0.003551, test_loss=0.002088, acc=0.7132
